date,open,high,low,close,volume
2024-01-10 09:15:00,312.0,370.2,311.55,334.15,1269540
2024-01-10 09:20:00,334.15,363.35,322.6,342.6,876270
2024-01-10 09:25:00,342.6,406.95,335.8,401.0,1360800
2024-01-10 09:30:00,401.0,413.0,239.1,240.1,1761720
2024-01-10 09:35:00,240.1,311.95,222.1,251.4,1236630
2024-01-10 09:40:00,251.4,267.2,191.95,192.55,1191390
2024-01-10 09:45:00,192.55,273.0,188.6,228.85,1872660
2024-01-10 09:50:00,228.85,239.0,184.0,200.45,1433685
2024-01-10 09:55:00,200.45,234.95,165.0,183.85,1522980
2024-01-10 10:00:00,183.85,206.4,181.9,200.75,1004670
2024-01-10 10:05:00,200.75,219.75,176.15,192.5,1135680
2024-01-10 10:10:00,192.5,195.7,148.75,155.2,1136220
2024-01-10 10:15:00,155.2,161.05,116.5,126.65,4282575
2024-01-10 10:20:00,126.65,169.75,121.1,161.2,3419295
2024-01-10 10:25:00,161.2,192.0,151.5,155.3,3102495
2024-01-10 10:30:00,155.3,157.65,123.25,134.35,2214600
2024-01-10 10:35:00,134.35,143.4,126.8,132.25,1300305
2024-01-10 10:40:00,132.25,170.45,129.7,165.7,2111010
2024-01-10 10:45:00,165.7,195.35,152.7,176.6,2503860
2024-01-10 10:50:00,176.6,192.3,162.0,177.95,1409490
2024-01-10 10:55:00,177.95,201.7,160.6,184.2,1946115
2024-01-10 11:00:00,184.2,197.1,154.6,170.05,1470480
2024-01-10 11:05:00,170.05,203.5,166.35,184.15,1767960
2024-01-10 11:10:00,183.75,194.4,141.65,146.8,1561455
2024-01-10 11:15:00,145.05,159.1,125.75,147.3,1972575
2024-01-10 11:20:00,147.3,150.5,131.25,136.0,1169850
2024-01-10 11:25:00,136.0,142.45,115.55,136.0,1840170
2024-01-10 11:30:00,136.0,155.85,126.5,154.5,1586370
2024-01-10 11:35:00,154.5,159.35,107.85,112.95,2445645
2024-01-10 11:40:00,112.95,123.7,93.2,121.45,3535890
2024-01-10 11:45:00,121.45,134.95,110.1,122.7,2150145
2024-01-10 11:50:00,122.7,131.95,111.2,123.7,1925640
2024-01-10 11:55:00,123.7,137.35,117.65,125.25,1634295
2024-01-10 12:00:00,125.25,144.95,116.65,143.45,2084400
2024-01-10 12:05:00,143.45,188.7,140.8,157.3,3674025
2024-01-10 12:10:00,157.3,165.2,134.4,147.0,2045460
2024-01-10 12:15:00,147.0,165.4,146.0,159.6,1094175
2024-01-10 12:20:00,159.6,173.2,144.85,160.3,1952145
2024-01-10 12:25:00,160.3,165.0,137.85,141.45,1247715
2024-01-10 12:30:00,140.75,152.45,113.4,122.4,2241240
2024-01-10 12:35:00,122.75,132.55,116.0,124.6,1621470
2024-01-10 12:40:00,124.6,167.9,122.3,164.85,2155335
2024-01-10 12:45:00,164.85,296.25,118.8,175.0,7299525
2024-01-10 12:50:00,175.0,211.1,171.55,181.65,2125065
2024-01-10 12:55:00,181.65,202.15,179.15,188.55,1289865
2024-01-10 13:00:00,188.55,199.0,173.7,188.25,1388460
2024-01-10 13:05:00,188.25,192.65,154.0,177.4,1569675
2024-01-10 13:10:00,177.4,184.5,141.1,151.15,1384005
2024-01-10 13:15:00,151.15,176.2,135.65,155.9,1577730
2024-01-10 13:20:00,155.9,175.35,150.75,157.3,1066695
2024-01-10 13:25:00,157.3,166.45,143.2,150.35,929010
2024-01-10 13:30:00,151.3,166.95,130.45,163.15,1833015
2024-01-10 13:35:00,163.15,181.85,153.9,167.2,1407510
2024-01-10 13:40:00,167.2,191.7,144.75,146.5,1505445
2024-01-10 13:45:00,146.5,188.0,144.3,170.15,1519185
2024-01-10 13:50:00,170.15,176.05,148.0,151.2,895890
2024-01-10 13:55:00,151.2,154.8,91.0,98.55,5519730
2024-01-10 14:00:00,97.75,123.95,68.8,122.35,8043450
2024-01-10 14:05:00,122.35,130.25,98.25,104.0,4061550
2024-01-10 14:10:00,104.0,113.3,84.3,90.3,3238425
2024-01-10 14:15:00,90.3,103.35,72.65,85.35,5564970
2024-01-10 14:20:00,85.35,122.55,78.8,112.4,6292155
2024-01-10 14:25:00,113.4,130.7,100.95,109.7,4819050
2024-01-10 14:30:00,109.7,114.9,79.75,86.85,4903545
2024-01-10 14:35:00,86.85,90.2,53.0,64.35,11405370
2024-01-10 14:40:00,64.35,78.5,46.3,63.25,14325840
2024-01-10 14:45:00,63.25,88.6,62.3,76.6,8502570
2024-01-10 14:50:00,75.75,77.5,43.7,47.15,10206975
2024-01-10 14:55:00,47.25,64.0,39.6,59.4,13798320
2024-01-10 15:00:00,59.4,63.9,11.0,11.45,33983550
2024-01-10 15:05:00,10.95,103.9,10.4,63.7,39942180
2024-01-10 15:10:00,63.7,74.35,51.85,60.7,12722760
2024-01-10 15:15:00,60.7,60.7,38.75,44.2,11654850
2024-01-10 15:20:00,43.45,47.5,38.5,42.35,8211480
2024-01-10 15:25:00,42.35,42.65,36.6,38.8,6227985
