date,open,high,low,close,volume
2024-01-10 09:15:00,650.0,741.85,637.0,701.5,82935
2024-01-10 09:20:00,701.5,738.0,689.15,714.05,39945
2024-01-10 09:25:00,714.05,785.0,706.5,784.3,52755
2024-01-10 09:30:00,784.3,794.4,584.65,587.0,86235
2024-01-10 09:35:00,587.0,679.0,562.3,603.0,64845
2024-01-10 09:40:00,603.0,623.6,525.0,525.0,47880
2024-01-10 09:45:00,525.0,636.85,519.95,585.7,63825
2024-01-10 09:50:00,585.7,596.0,525.25,542.55,40845
2024-01-10 09:55:00,542.55,593.2,503.05,526.7,52320
2024-01-10 10:00:00,526.7,562.0,526.2,549.0,28755
2024-01-10 10:05:00,549.0,580.25,522.5,548.5,37620
2024-01-10 10:10:00,548.5,549.95,479.7,492.4,46365
2024-01-10 10:15:00,492.4,500.1,426.2,446.05,102960
2024-01-10 10:20:00,446.05,519.0,437.4,508.85,191325
2024-01-10 10:25:00,508.85,549.75,498.45,504.4,180645
2024-01-10 10:30:00,504.4,509.25,456.3,476.7,129540
2024-01-10 10:35:00,476.7,490.25,464.15,473.85,29730
2024-01-10 10:40:00,473.85,530.0,469.55,523.75,46845
2024-01-10 10:45:00,523.75,564.65,507.65,540.7,56400
2024-01-10 10:50:00,540.7,564.6,524.1,545.45,38250
2024-01-10 10:55:00,545.45,573.75,523.3,554.75,55800
2024-01-10 11:00:00,554.75,572.7,518.2,537.0,50295
2024-01-10 11:05:00,537.0,581.35,534.0,555.05,35175
2024-01-10 11:10:00,555.05,569.35,504.2,508.3,32850
2024-01-10 11:15:00,508.3,530.55,483.7,513.95,43065
2024-01-10 11:20:00,513.95,517.5,493.7,497.45,28500
2024-01-10 11:25:00,497.45,511.5,474.85,502.0,40065
2024-01-10 11:30:00,502.0,533.1,492.55,533.1,24525
2024-01-10 11:35:00,533.1,533.1,463.0,472.25,47835
2024-01-10 11:40:00,472.25,483.0,436.8,478.6,66645
2024-01-10 11:45:00,478.6,500.4,462.6,483.8,34620
2024-01-10 11:50:00,483.8,499.65,466.95,487.0,32865
2024-01-10 11:55:00,487.0,506.75,477.95,489.0,29280
2024-01-10 12:00:00,489.0,517.0,478.0,516.4,30420
2024-01-10 12:05:00,516.4,571.35,513.55,534.0,57630
2024-01-10 12:10:00,536.3,542.5,505.95,524.0,35595
2024-01-10 12:15:00,524.0,545.75,521.0,538.8,23160
2024-01-10 12:20:00,538.8,555.55,520.6,541.1,39735
2024-01-10 12:25:00,541.1,545.65,512.2,517.35,26745
2024-01-10 12:30:00,517.35,531.55,480.05,492.85,43065
2024-01-10 12:35:00,492.85,508.2,483.6,495.15,27480
2024-01-10 12:40:00,495.15,551.45,492.0,546.4,41280
2024-01-10 12:45:00,546.4,689.5,491.2,559.65,160350
2024-01-10 12:50:00,559.65,601.0,558.2,568.25,52290
2024-01-10 12:55:00,568.25,590.7,564.7,577.3,20790
2024-01-10 13:00:00,577.3,586.8,560.6,575.2,17010
2024-01-10 13:05:00,575.2,580.35,534.0,564.0,22485
2024-01-10 13:10:00,564.0,572.05,519.85,533.8,20865
2024-01-10 13:15:00,533.8,564.3,513.0,542.95,26025
2024-01-10 13:20:00,542.95,563.85,533.85,542.75,25410
2024-01-10 13:25:00,542.75,552.9,526.85,535.55,25170
2024-01-10 13:30:00,535.55,554.0,508.95,549.85,30870
2024-01-10 13:35:00,549.85,571.0,540.0,556.0,20985
2024-01-10 13:40:00,556.0,582.3,529.15,529.15,30720
2024-01-10 13:45:00,529.15,579.2,529.15,555.45,24495
2024-01-10 13:50:00,555.45,565.45,533.65,535.25,14160
2024-01-10 13:55:00,535.25,540.6,454.4,467.45,88890
2024-01-10 14:00:00,460.0,504.0,403.3,501.4,135885
2024-01-10 14:05:00,501.4,511.6,473.0,481.65,44670
2024-01-10 14:10:00,481.65,492.75,449.05,460.6,56100
2024-01-10 14:15:00,460.6,480.6,431.6,455.0,39915
2024-01-10 14:20:00,455.9,513.95,446.0,501.1,60780
2024-01-10 14:25:00,501.2,522.0,487.05,500.6,50040
2024-01-10 14:30:00,500.6,504.05,459.55,470.9,50745
2024-01-10 14:35:00,470.9,476.35,415.3,436.05,84825
2024-01-10 14:40:00,436.05,466.6,400.0,445.5,88785
2024-01-10 14:45:00,445.5,482.8,445.0,467.9,32880
2024-01-10 14:50:00,467.9,469.1,423.95,430.35,43650
2024-01-10 14:55:00,430.35,455.0,419.5,447.05,97110
2024-01-10 15:00:00,447.05,458.0,387.6,389.4,160245
2024-01-10 15:05:00,387.95,504.7,386.7,460.55,201825
2024-01-10 15:10:00,460.55,473.0,450.35,463.35,83790
2024-01-10 15:15:00,459.45,460.2,437.15,443.65,70155
2024-01-10 15:20:00,443.6,447.2,437.95,442.0,74400
2024-01-10 15:25:00,442.0,443.7,436.7,438.3,60450
